id_pers;sexo;edad;grupo_edad;area;dpto;nivel_edu;quintil_ingreso;uso_internet;fex
1;Hombre;15;15-24;Urbana;Alto Paraná;Media;Q4;0;69
2;Mujer;15;15-24;Urbana;Central;Media;Q3;1;73
3;Mujer;41;35-44;Urbana;Central;Superior;Q4;1;90
4;Mujer;15;15-24;Urbana;Alto Paraná;Media;Q4;1;78
5;Hombre;55;55-64;Urbana;Asunción;Media;Q4;0;148
6;Hombre;33;25-34;Rural;San Pedro;Básica;Q3;0;23
7;Hombre;36;35-44;Rural;San Pedro;Media;Q3;0;118
8;Mujer;29;25-34;Rural;Caaguazú;Superior;Q5;1;26
9;Mujer;48;45-54;Rural;San Pedro;Básica;Q1;0;76
10;Mujer;49;45-54;Rural;Caaguazú;Básica;Q2;0;46
11;Hombre;41;35-44;Urbana;Asunción;Básica;Q4;1;142
12;Mujer;45;45-54;Urbana;Asunción;Superior;Q3;1;113
13;Mujer;31;25-34;Rural;Central;Media;Q2;1;80
14;Hombre;44;35-44;Rural;Concepción;Superior;Q5;1;143
15;Hombre;28;25-34;Urbana;Asunción;Media;Q5;1;113
16;Hombre;35;35-44;Urbana;Alto Paraná;Media;Q4;1;143
17;Hombre;30;25-34;Rural;Concepción;Media;Q3;1;111
18;Mujer;26;25-34;Urbana;Asunción;Básica;Q2;1;30
19;Hombre;22;15-24;Urbana;Central;Media;Q2;0;100
20;Hombre;43;35-44;Rural;Asunción;Básica;Q2;1;147
21;Mujer;58;55-64;Urbana;Alto Paraná;Media;Q3;0;47
22;Hombre;56;55-64;Rural;Concepción;Básica;Q1;0;123
23;Hombre;15;15-24;Rural;Caaguazú;Básica;Q2;0;44
24;Hombre;58;55-64;Urbana;Central;Básica;Q2;1;78
25;Hombre;29;25-34;Urbana;Central;Media;Q4;1;31
26;Mujer;45;45-54;Urbana;Alto Paraná;Superior;Q5;1;64
27;Hombre;18;15-24;Urbana;Alto Paraná;Básica;Q3;1;120
28;Mujer;37;35-44;Rural;San Pedro;Básica;Q1;0;25
29;Mujer;40;35-44;Urbana;Central;Básica;Q2;1;61
30;Hombre;15;15-24;Urbana;Central;Media;Q3;1;101
31;Mujer;45;45-54;Urbana;Asunción;Media;Q2;1;143
32;Hombre;59;55-64;Urbana;Central;Superior;Q4;1;51
33;Hombre;31;25-34;Urbana;Itapúa;Superior;Q5;1;42
34;Mujer;59;55-64;Rural;Alto Paraná;Básica;Q2;0;46
35;Mujer;31;25-34;Urbana;Alto Paraná;Básica;Q4;1;50
36;Mujer;50;45-54;Urbana;Asunción;Básica;Q2;1;102
37;Hombre;15;15-24;Urbana;Central;Superior;Q3;1;149
38;Hombre;78;65+;Rural;San Pedro;Media;Q3;0;88
39;Mujer;61;55-64;Urbana;Central;Básica;Q3;1;55
40;Hombre;29;25-34;Rural;Concepción;Básica;Q2;1;117
41;Hombre;15;15-24;Urbana;Itapúa;Media;Q5;1;40
42;Mujer;40;35-44;Rural;Caazapá;Básica;Q3;0;23
43;Hombre;15;15-24;Urbana;Asunción;Superior;Q2;1;98
44;Mujer;43;35-44;Rural;San Pedro;Media;Q2;0;47
45;Hombre;42;35-44;Urbana;Itapúa;Media;Q4;1;71
46;Mujer;18;15-24;Rural;Caazapá;Básica;Q1;0;50
47;Hombre;55;55-64;Urbana;Central;Media;Q3;1;139
48;Mujer;49;45-54;Rural;Caaguazú;Media;Q4;1;63
49;Mujer;52;45-54;Rural;Caaguazú;Media;Q3;0;78
50;Hombre;35;35-44;Urbana;Central;Media;Q3;1;50
51;Mujer;15;15-24;Urbana;Asunción;Media;Q4;1;31
52;Mujer;52;45-54;Rural;Caaguazú;Media;Q2;1;86
53;Mujer;30;25-34;Urbana;Central;Básica;Q3;1;132
54;Mujer;15;15-24;Rural;San Pedro;Media;Q4;1;65
55;Mujer;59;55-64;Urbana;Caazapá;Media;Q3;1;121
56;Mujer;72;65+;Urbana;Asunción;Superior;Q4;1;24
57;Hombre;34;25-34;Rural;Caaguazú;Básica;Q3;0;50
58;Hombre;73;65+;Urbana;Central;Media;Q3;0;37
59;Hombre;36;35-44;Rural;Caaguazú;Básica;Q1;1;72
60;Hombre;28;25-34;Rural;San Pedro;Básica;Q4;0;136
61;Hombre;23;15-24;Urbana;Central;Superior;Q5;1;68
62;Hombre;64;55-64;Rural;San Pedro;Media;Q3;1;98
63;Mujer;20;15-24;Rural;Caaguazú;Media;Q3;1;136
64;Hombre;48;45-54;Urbana;Asunción;Media;Q5;1;66
65;Hombre;24;15-24;Rural;San Pedro;Media;Q4;1;67
66;Mujer;26;25-34;Urbana;Itapúa;Superior;Q5;1;31
67;Hombre;53;45-54;Urbana;Central;Media;Q4;1;65
68;Mujer;28;25-34;Urbana;Asunción;Básica;Q1;0;117
69;Hombre;27;25-34;Rural;Central;Básica;Q1;0;129
70;Mujer;55;55-64;Urbana;Asunción;Media;Q2;1;113
